service_id,date,exception_type
81964,20260616,1
82682,20260625,1
82682,20260622,1
82682,20260619,1
82683,20260622,1
82683,20260619,1
82683,20260616,1
82684,20270127,1
82684,20261224,1
82684,20261127,1
82684,20260216,1
72981,20270101,1
72981,20261225,1
72981,20261126,1
72981,20260907,1
72981,20260525,1
72982,20270127,2
72982,20270101,2
72982,20261225,2
72982,20261224,2
72982,20261127,2
72982,20261126,2
72982,20260907,2
72982,20260525,2
72982,20260216,2
